Axiom validation log 2026-03-08_1835

Session overview
- Reviewed snapshot: 297 results
- Byte-weighted credits awarded: 137 results across 6117963 creditable bytes
- Denied sentinel (0.01): 160 results via stub filter (nbytes < 500 and elapsed_time < 60)
- Sanitized payload review: no matching sanitized JSON files existed yet for this live batch, so this cycle used trusted DB-side metadata only (result IDs, elapsed_time, DB-extracted nbytes, retired registry)
- Retired experiment matches in this batch: 0
- Stuck/broken tasks cleaned up: none in validation step
- Bugs fixed in experiment scripts: none

Credit totals
- Total credit added to results this session: 7545.29
- Byte-weighted pool subtotal: 7543.69
- Denied sentinel subtotal: 1.60
- Highest single result credit: 183.18
- Lowest credited non-sentinel result: 2.78

Per-user totals after rollup
- user 6: total_credit 49741.54
- user 23: total_credit 5515.66
- user 31: total_credit 10629.05
- user 34: total_credit 272.88
- user 43: total_credit 653.57
- user 44: total_credit 103893.44
- user 55: total_credit 1484.92
- user 83: total_credit 6447.26
- user 88: total_credit 19398.13
- user 90: total_credit 77913.28
- user 130: total_credit 1262.92
- user 136: total_credit 21182.40

Results reviewed this session
- result 1908007 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 842.022s, nbytes 16542, no retired match, sanitized payload pending)
- result 1931352 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 4.069s, nbytes 245)
- result 1931353 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.058s, nbytes 251)
- result 1931357 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 4.204s, nbytes 245)
- result 1931358 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.056s, nbytes 245)
- result 1931359 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.052s, nbytes 237)
- result 1931360 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.041s, nbytes 248)
- result 1931361 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.177s, nbytes 251)
- result 1931367 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.052s, nbytes 249)
- result 1931370 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.058s, nbytes 248)
- result 1931373 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.047s, nbytes 237)
- result 1931376 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 251)
- result 1931377 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.086s, nbytes 245)
- result 1931378 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.047s, nbytes 237)
- result 1931379 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 245)
- result 1931380 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.060s, nbytes 237)
- result 1931381 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.051s, nbytes 237)
- result 1931382 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.059s, nbytes 248)
- result 1931383 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.075s, nbytes 245)
- result 1931384 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.073s, nbytes 248)
- result 1931385 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.053s, nbytes 254)
- result 1931386 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.064s, nbytes 237)
- result 1931387 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.049s, nbytes 251)
- result 1931388 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.053s, nbytes 249)
- result 1931389 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.059s, nbytes 249)
- result 1931390 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 4.065s, nbytes 245)
- result 1931391 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.047s, nbytes 249)
- result 1931392 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.041s, nbytes 248)
- result 1931393 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.062s, nbytes 237)
- result 1931394 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.099s, nbytes 251)
- result 1931395 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.113s, nbytes 248)
- result 1931400 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.047s, nbytes 248)
- result 1931404 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 4.047s, nbytes 245)
- result 1931407 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.050s, nbytes 254)
- result 1931410 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.051s, nbytes 248)
- result 1931411 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.052s, nbytes 245)
- result 1931412 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.054s, nbytes 245)
- result 1931413 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.058s, nbytes 254)
- result 1931414 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 249)
- result 1931417 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.052s, nbytes 237)
- result 1931418 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.050s, nbytes 249)
- result 1931419 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.042s, nbytes 254)
- result 1931420 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.047s, nbytes 254)
- result 1931421 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.035s, nbytes 237)
- result 1931422 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.057s, nbytes 254)
- result 1931423 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.037s, nbytes 237)
- result 1931424 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.040s, nbytes 237)
- result 1931426 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 254)
- result 1931427 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.064s, nbytes 248)
- result 1931428 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.053s, nbytes 237)
- result 1931539 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.053s, nbytes 254)
- result 1931540 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.036s, nbytes 248)
- result 1931541 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.048s, nbytes 249)
- result 1931542 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.078s, nbytes 251)
- result 1931543 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.064s, nbytes 251)
- result 1931544 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.053s, nbytes 249)
- result 1931545 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.044s, nbytes 245)
- result 1931546 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.044s, nbytes 237)
- result 1931549 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.044s, nbytes 245)
- result 1931550 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.063s, nbytes 248)
- result 1931551 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.049s, nbytes 249)
- result 1931552 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 251)
- result 1931553 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.060s, nbytes 254)
- result 1931554 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.043s, nbytes 251)
- result 1931555 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.049s, nbytes 237)
- result 1931560 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.060s, nbytes 237)
- result 1931561 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.051s, nbytes 245)
- result 1931562 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 237)
- result 1931563 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.054s, nbytes 245)
- result 1931564 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.042s, nbytes 254)
- result 1931570 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.049s, nbytes 254)
- result 1931571 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.042s, nbytes 249)
- result 1931574 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.051s, nbytes 249)
- result 1931575 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.100s, nbytes 237)
- result 1931576 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.060s, nbytes 237)
- result 1931688 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 4.063s, nbytes 245)
- result 1931693 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.048s, nbytes 245)
- result 1931698 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.056s, nbytes 237)
- result 1931700 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.044s, nbytes 249)
- result 1931701 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.057s, nbytes 237)
- result 1931702 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 245)
- result 1931703 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.058s, nbytes 237)
- result 1931704 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 4.067s, nbytes 245)
- result 1931705 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.044s, nbytes 251)
- result 1931706 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.060s, nbytes 237)
- result 1931707 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.062s, nbytes 237)
- result 1931708 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.045s, nbytes 248)
- result 1931709 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.047s, nbytes 251)
- result 1931710 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.044s, nbytes 248)
- result 1931711 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.056s, nbytes 249)
- result 1931712 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.044s, nbytes 254)
- result 1931713 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.051s, nbytes 245)
- result 1931714 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.062s, nbytes 237)
- result 1931715 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.061s, nbytes 248)
- result 1931716 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.051s, nbytes 249)
- result 1931717 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.064s, nbytes 251)
- result 1931718 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.049s, nbytes 254)
- result 1931719 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.049s, nbytes 249)
- result 1931720 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.065s, nbytes 254)
- result 1931722 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.055s, nbytes 245)
- result 1931770 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.161s, nbytes 237)
- result 1931776 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.071s, nbytes 237)
- result 1931780 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.050s, nbytes 251)
- result 1931785 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.043s, nbytes 249)
- result 1931787 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.056s, nbytes 248)
- result 1931788 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.052s, nbytes 237)
- result 1931789 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.041s, nbytes 249)
- result 1931790 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.168s, nbytes 237)
- result 1931791 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.045s, nbytes 254)
- result 1931792 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.065s, nbytes 249)
- result 1931793 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.053s, nbytes 251)
- result 1931794 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.049s, nbytes 248)
- result 1931795 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.037s, nbytes 251)
- result 1931797 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.041s, nbytes 249)
- result 1931798 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.040s, nbytes 249)
- result 1931799 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.052s, nbytes 249)
- result 1931800 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.045s, nbytes 249)
- result 1931801 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.042s, nbytes 249)
- result 1931802 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.057s, nbytes 249)
- result 1931803 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.058s, nbytes 254)
- result 1931804 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.051s, nbytes 254)
- result 1931806 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.056s, nbytes 254)
- result 1931807 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.056s, nbytes 249)
- result 1931808 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.054s, nbytes 245)
- result 1931864 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 237)
- result 1932010 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.050s, nbytes 245)
- result 1932022 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.045s, nbytes 249)
- result 1932023 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.039s, nbytes 248)
- result 1932024 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.054s, nbytes 254)
- result 1932025 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.057s, nbytes 254)

Follow-up live queue pass
- Additional snapshot credited after new completions landed during the first pass: 99 results
- Byte-weighted credits awarded: 34 results across 1944642 creditable bytes
- Denied sentinel (0.01): 65 results via stub filter (nbytes < 500 and elapsed_time < 60)
- Additional credit added in follow-up pass: 8156.75
- Queue state after follow-up pass: 0 uncredited completed experiment results remaining

Follow-up per-user totals after rollup
- user 6: total_credit 51349.44
- user 34: total_credit 566.03
- user 44: total_credit 104179.69
- user 55: total_credit 1485.57
- user 56: total_credit 193161.52
- user 90: total_credit 78001.48

Follow-up results reviewed
- result 1913878 (host 15): exp_markov_branching_rescue_correlation -> byte-weighted credit 500.00 (elapsed 845.582s, nbytes 148512, no retired match, sanitized payload pending)
- result 1913974 (host 15): exp_ageing_voter_modular_polarization -> byte-weighted credit 293.98 (elapsed 844.599s, nbytes 57169, no retired match, sanitized payload pending)
- result 1913983 (host 15): exp_ageing_voter_modular_polarization -> byte-weighted credit 290.67 (elapsed 844.591s, nbytes 56524, no retired match, sanitized payload pending)
- result 1914074 (host 15): exp_markov_branching_rescue_correlation -> byte-weighted credit 500.00 (elapsed 845.609s, nbytes 148277, no retired match, sanitized payload pending)
- result 1923060 (host 222): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 88.20 (elapsed 856.371s, nbytes 17151, no retired match, sanitized payload pending)
- result 1927825 (host 16): exp_grayscott_crossed_stripe_interaction_gpu_gpu -> byte-weighted credit 11.64 (elapsed 63.107s, nbytes 2263, no retired match, sanitized payload pending)
- result 1927827 (host 16): exp_grayscott_crossed_stripe_interaction_gpu -> byte-weighted credit 11.61 (elapsed 64.994s, nbytes 2258, no retired match, sanitized payload pending)
- result 1928669 (host 102): exp_ageing_voter_modular_polarization -> byte-weighted credit 293.15 (elapsed 858.078s, nbytes 57007, no retired match, sanitized payload pending)
- result 1929420 (host 123): exp_ageing_voter_modular_polarization -> byte-weighted credit 293.08 (elapsed 874.484s, nbytes 56993, no retired match, sanitized payload pending)
- result 1929435 (host 123): exp_sparse_wigner_tw_edge -> byte-weighted credit 108.24 (elapsed 868.594s, nbytes 21049, no retired match, sanitized payload pending)
- result 1929436 (host 123): exp_sparse_wigner_tw_edge -> byte-weighted credit 108.17 (elapsed 889.156s, nbytes 21036, no retired match, sanitized payload pending)
- result 1929498 (host 123): exp_sparse_wigner_tw_edge -> byte-weighted credit 108.21 (elapsed 901.000s, nbytes 21043, no retired match, sanitized payload pending)
- result 1929560 (host 123): exp_markov_branching_rescue_correlation -> byte-weighted credit 500.00 (elapsed 839.469s, nbytes 148410, no retired match, sanitized payload pending)
- result 1929564 (host 123): exp_ageing_voter_modular_polarization -> byte-weighted credit 292.21 (elapsed 871.656s, nbytes 56824, no retired match, sanitized payload pending)
- result 1929565 (host 123): exp_markov_branching_rescue_correlation -> byte-weighted credit 500.00 (elapsed 840.031s, nbytes 148309, no retired match, sanitized payload pending)
- result 1929639 (host 123): exp_markov_branching_rescue_correlation -> byte-weighted credit 500.00 (elapsed 835.578s, nbytes 148480, no retired match, sanitized payload pending)
- result 1929817 (host 123): exp_hypergraph_pgg_inertia_crossover -> byte-weighted credit 63.33 (elapsed 835.859s, nbytes 12315, no retired match, sanitized payload pending)
- result 1929890 (host 123): exp_hypergraph_pgg_inertia_crossover -> byte-weighted credit 63.40 (elapsed 836.547s, nbytes 12329, no retired match, sanitized payload pending)
- result 1929894 (host 123): exp_ageing_voter_modular_polarization -> byte-weighted credit 290.64 (elapsed 869.375s, nbytes 56520, no retired match, sanitized payload pending)
- result 1929896 (host 123): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 88.82 (elapsed 841.156s, nbytes 17272, no retired match, sanitized payload pending)
- result 1930022 (host 123): exp_minority_game_delay_memory_interaction -> byte-weighted credit 177.98 (elapsed 864.609s, nbytes 34611, no retired match, sanitized payload pending)
- result 1930037 (host 123): exp_hypergraph_pgg_inertia_crossover -> byte-weighted credit 63.74 (elapsed 812.188s, nbytes 12395, no retired match, sanitized payload pending)
- result 1930195 (host 123): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 88.79 (elapsed 831.828s, nbytes 17266, no retired match, sanitized payload pending)
- result 1930444 (host 123): exp_sparse_wigner_tw_edge -> byte-weighted credit 108.16 (elapsed 844.016s, nbytes 21033, no retired match, sanitized payload pending)
- result 1930451 (host 123): exp_ageing_voter_modular_polarization -> byte-weighted credit 290.75 (elapsed 849.719s, nbytes 56541, no retired match, sanitized payload pending)
- result 1930452 (host 123): exp_minority_game_delay_memory_interaction -> byte-weighted credit 177.90 (elapsed 894.062s, nbytes 34596, no retired match, sanitized payload pending)
- result 1930557 (host 123): exp_ageing_voter_modular_polarization -> byte-weighted credit 292.70 (elapsed 852.156s, nbytes 56920, no retired match, sanitized payload pending)
- result 1930558 (host 123): exp_ageing_voter_modular_polarization -> byte-weighted credit 293.35 (elapsed 850.500s, nbytes 57046, no retired match, sanitized payload pending)
- result 1930585 (host 123): exp_markov_branching_rescue_correlation -> byte-weighted credit 500.00 (elapsed 822.531s, nbytes 148620, no retired match, sanitized payload pending)
- result 1930586 (host 123): exp_minority_game_delay_memory_interaction -> byte-weighted credit 178.06 (elapsed 888.516s, nbytes 34627, no retired match, sanitized payload pending)
- result 1930590 (host 123): exp_markov_branching_rescue_correlation -> byte-weighted credit 500.00 (elapsed 815.844s, nbytes 148590, no retired match, sanitized payload pending)
- result 1930609 (host 123): exp_ageing_voter_modular_polarization -> byte-weighted credit 293.06 (elapsed 843.141s, nbytes 56990, no retired match, sanitized payload pending)
- result 1931086 (host 269): exp_sparse_wigner_tw_edge -> byte-weighted credit 108.11 (elapsed 860.594s, nbytes 21024, no retired match, sanitized payload pending)
- result 1931128 (host 269): exp_minority_game_delay_memory_interaction -> byte-weighted credit 178.14 (elapsed 865.547s, nbytes 34642, no retired match, sanitized payload pending)
- result 1931762 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.057s, nbytes 254)
- result 1931779 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.063s, nbytes 254)
- result 1931817 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 251)
- result 1931818 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.048s, nbytes 248)
- result 1931819 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.060s, nbytes 248)
- result 1931820 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 4.064s, nbytes 245)
- result 1932001 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.068s, nbytes 251)
- result 1932011 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.046s, nbytes 245)
- result 1932012 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.077s, nbytes 237)
- result 1932013 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.056s, nbytes 251)
- result 1932014 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.041s, nbytes 249)
- result 1932049 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.065s, nbytes 249)
- result 1932061 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.069s, nbytes 248)
- result 1932062 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.089s, nbytes 249)
- result 1932063 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.083s, nbytes 249)
- result 1932074 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.069s, nbytes 237)
- result 1932076 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.067s, nbytes 249)
- result 1932077 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.049s, nbytes 254)
- result 1932079 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.055s, nbytes 249)
- result 1932081 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.053s, nbytes 237)
- result 1932083 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.053s, nbytes 251)
- result 1932086 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.070s, nbytes 249)
- result 1932087 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.059s, nbytes 249)
- result 1932089 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.045s, nbytes 248)
- result 1932090 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.062s, nbytes 251)
- result 1932091 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.049s, nbytes 251)
- result 1932093 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.068s, nbytes 251)
- result 1932094 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.054s, nbytes 249)
- result 1932095 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.044s, nbytes 248)
- result 1932096 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.064s, nbytes 249)
